dataset,phase,classifier,Accuracy (mean±std),F1 (mean±std),n_folds
6,After FS-DR,SVM,0.9112 ± 0.0350,0.5890 ± 0.2185,110
7,After FS-DR,DT,0.9259 ± 0.0495,0.6323 ± 0.2526,100
7,After FS-DR,KNN,0.9415 ± 0.0534,0.6749 ± 0.2693,100
7,After FS-DR,MLP,0.9295 ± 0.0434,0.6465 ± 0.2416,100
7,After FS-DR,RF,0.9441 ± 0.0510,0.6791 ± 0.2703,100
7,After FS-DR,SVM,0.9096 ± 0.0363,0.5608 ± 0.2091,100
8,After FS-DR,DT,0.9226 ± 0.0510,0.6210 ± 0.2616,90
8,After FS-DR,KNN,0.9376 ± 0.0549,0.6661 ± 0.2811,90
8,After FS-DR,MLP,0.9276 ± 0.0453,0.6381 ± 0.2510,90
8,After FS-DR,RF,0.9413 ± 0.0529,0.6709 ± 0.2817,90
8,After FS-DR,SVM,0.9089 ± 0.0381,0.5533 ± 0.2191,90
9,After FS-DR,DT,0.9183 ± 0.0526,0.6068 ± 0.2718,80
9,After FS-DR,KNN,0.9327 ± 0.0564,0.6551 ± 0.2948,80
9,After FS-DR,MLP,0.9251 ± 0.0475,0.6307 ± 0.2637,80
9,After FS-DR,RF,0.9373 ± 0.0549,0.6603 ± 0.2950,80
9,After FS-DR,SVM,0.9080 ± 0.0402,0.5439 ± 0.2306,80
10,After FS-DR,DT,0.9132 ± 0.0544,0.5791 ± 0.2797,70
10,After FS-DR,KNN,0.9275 ± 0.0585,0.6251 ± 0.3035,70
10,After FS-DR,MLP,0.9208 ± 0.0492,0.6047 ± 0.2717,70
10,After FS-DR,RF,0.9323 ± 0.0569,0.6307 ± 0.3040,70
10,After FS-DR,SVM,0.9045 ± 0.0419,0.5212 ± 0.2378,70
11,After FS-DR,DT,0.9122 ± 0.0587,0.5951 ± 0.2991,60
11,After FS-DR,KNN,0.9253 ± 0.0629,0.6423 ± 0.3247,60
11,After FS-DR,MLP,0.9192 ± 0.0530,0.6166 ± 0.2917,60
